source,target,source_uniprot,target_uniprot,directionality,classification
WNT8B,SFRP5,Q93098,Q5T4F7,Ligand-Ligand,Signaling by WNT inhibition
WNT8B,WIF1,Q93098,Q9Y5W5,Ligand-Ligand,Signaling by WNT inhibition
WNT9A,CER1,O14904,O95813,Ligand-Ligand,Signaling by WNT inhibition
WNT9A,FRZB,O14904,Q92765,Ligand-Ligand,Signaling by WNT inhibition
WNT9A,SFRP1,O14904,Q8N474,Ligand-Ligand,Signaling by WNT inhibition
WNT9A,SFRP2,O14904,Q96HF1,Ligand-Ligand,Signaling by WNT inhibition
WNT9A,SFRP4,O14904,Q6FHJ7,Ligand-Ligand,Signaling by WNT inhibition
WNT9A,SFRP5,O14904,Q5T4F7,Ligand-Ligand,Signaling by WNT inhibition
WNT9A,WIF1,O14904,Q9Y5W5,Ligand-Ligand,Signaling by WNT inhibition
WNT9B,CER1,O14905,O95813,Ligand-Ligand,Signaling by WNT inhibition
WNT9B,FRZB,O14905,Q92765,Ligand-Ligand,Signaling by WNT inhibition
WNT9B,SFRP1,O14905,Q8N474,Ligand-Ligand,Signaling by WNT inhibition
WNT9B,SFRP2,O14905,Q96HF1,Ligand-Ligand,Signaling by WNT inhibition
WNT9B,SFRP4,O14905,Q6FHJ7,Ligand-Ligand,Signaling by WNT inhibition
WNT9B,SFRP5,O14905,Q5T4F7,Ligand-Ligand,Signaling by WNT inhibition
WNT9B,WIF1,O14905,Q9Y5W5,Ligand-Ligand,Signaling by WNT inhibition
INHBC,ACVR2A,P55103,P27037,Ligand-Receptor,Signaling by Inhibin/Activin
INHBC,ACVR2B,P55103,Q13705,Ligand-Receptor,Signaling by Inhibin/Activin
INHBE,ACVR2A,P58166,P27037,Ligand-Receptor,Signaling by Inhibin/Activin
INHBE,ACVR2B,P58166,Q13705,Ligand-Receptor,Signaling by Inhibin/Activin
ALCAM,CD6,Q13740,P30203,Ligand-Receptor,
BAG6,NCR3,P46379,O14931,Ligand-Receptor,
BST2,LILRA4,Q10589,P59901,Ligand-Receptor,
CD1D,LILRB2,P15813,Q8N423,Ligand-Receptor,
CD200,CD200R1,P41217,Q8TD46,Ligand-Receptor,
CD226,NECTIN2,Q15762,Q92692,Adhesion-Adhesion,
CD24,SELP,P25063,P16109,Ligand-Receptor,
CD248,IL6R,Q9HCU0,P08887,Ligand-Receptor,
CD274,CD80,Q9NZQ7,P33681,Ligand-Receptor,
CD274,PDCD1,Q9NZQ7,Q15116,Ligand-Receptor,
CD276,TREML2,Q5ZPR3,Q5T2D2,Ligand-Receptor,
CD320,JAML,Q9NPF0,Q86YT9,Ligand-Receptor,
CD34,SELL,P28906,P14151,Ligand-Receptor,
CD34,SELP,P28906,P16109,Ligand-Receptor,
CD40LG,CD40,P29965,P25942,Ligand-Receptor,
CD44,SELE,P16070,P16581,Ligand-Receptor,
CD48,CD244,P09326,Q9BZW8,Ligand-Receptor,
CD52,SIGLEC10,P31358,Q96LC7,Ligand-Receptor,
CD55,ADGRE5,P08174,P48960,Ligand-Receptor,
CD58,CD2,P19256,P06729,Ligand-Receptor,
CD70,CD27,P32970,P26842,Ligand-Receptor,
CD80,CD28,P33681,P10747,Ligand-Receptor,
CD80,CTLA4,P33681,P16410,Ligand-Receptor,
CD80,NGFR,P33681,P08138,Ligand-Receptor,
CD86,CD28,P42081,P10747,Ligand-Receptor,
CD86,CTLA4,P42081,P16410,Ligand-Receptor,
CD93,IFNGR1,Q9NPY3,P15260,Ligand-Receptor,
CD96,NECTIN1,P40200,Q15223,Receptor-Receptor,
CD99,PILRA,P14209,Q9UKJ1,Ligand-Receptor,
CHL1,CHL1,O00533,O00533,Adhesion-Adhesion,
CHL1,L1CAM,O00533,P32004,Adhesion-Adhesion,
CNTN1,MCAM,Q12860,P43121,Adhesion-Adhesion,
CNTN1,NRCAM,Q12860,Q92823,Adhesion-Adhesion,
CRTAM,CADM1,O95727,Q9BY67,Adhesion-Adhesion,
EPO,EPOR,P01588,P19235,Ligand-Receptor,
ERVH48-1,SLC1A5,M5A8F1,Q15758,Ligand-Receptor,
ESAM,ESAM,Q96AP7,Q96AP7,Adhesion-Adhesion,
FGFR4,TGFBR3,P22455,Q03167,Receptor-Receptor,
FLT3LG,FLT3,P49771,P36888,Ligand-Receptor,
FSHB,FSHR,P01225,P23945,Ligand-Receptor,
FTH1,SCARA5,P02794,Q6ZMJ2,Ligand-Receptor,
FTL,SCARA5,P02792,Q6ZMJ2,Ligand-Receptor,
HEBP1,FPR3,Q9NRV9,P25089,Ligand-Receptor,
HFE,TFRC,Q30201,P02786,Ligand-Receptor,
HGF,MET,P14210,P08581,Ligand-Receptor,
ICOSLG,ICOS,O75144,Q9Y6W8,Ligand-Receptor,
JAG1,CD46,P78504,P15529,Ligand-Receptor,
JAG1,VASN,P78504,Q6EMK4,Ligand-Receptor,
JAG2,VASN,Q9Y219,Q6EMK4,Ligand-Receptor,
KISS1,KISS1R,Q15726,Q969F8,Ligand-Receptor,
KITLG,KIT,P21583,P10721,Ligand-Receptor,
KLRB1,CLEC2D,Q12918,Q9UHP7,Ligand-Receptor,
LAIR1,LILRB4,Q6GTX8,Q8NHJ6,Receptor-Receptor,
LAMA2,ADGRG6,P24043,Q86SQ4,Ligand-Receptor,
LCN2,SLC22A17,P80188,Q8WUG5,Ligand-Receptor,
LEP,LEPR,P41159,P48357,Ligand-Receptor,
LHB,LHCGR,P01229,P22888,Ligand-Receptor,
LRPAP1,SORT1,P30533,Q99523,Ligand-Receptor,
MLN,MLNR,P12872,O43193,Ligand-Receptor,
MPZL1,MPZL1,O95297,O95297,Adhesion-Adhesion,
MST1,MST1R,P26927,Q04912,Ligand-Receptor,
NCR3LG1,NCR3,Q68D85,O14931,Ligand-Receptor,
NELL2,ROBO3,Q99435,Q96MS0,Ligand-Receptor,
NSMF,GNRHR,Q6X4W1,P30968,Ligand-Receptor,
PDCD1LG2,PDCD1,Q9BQ51,Q15116,Ligand-Receptor,
PECAM1,CD38,P16284,P28907,Receptor-Receptor,
PENK,GHSR,P01210,Q92847,Ligand-Receptor,
PF4,CXCR3,P02776,P49682,Ligand-Receptor,
PI16,TNFRSF21,Q6UXB8,O75509,Ligand-Receptor,
PPIA,BSG,P62937,P35613,Ligand-Receptor,
PRNP,ADGRG6,F7VJQ1,Q86SQ4,Ligand-Receptor,
PROC,PROCR,P04070,Q9UNN8,Ligand-Receptor,
PTPRC,CD22,P08575,P20273,Receptor-Receptor,
PTPRC,MRC1,P08575,P22897,Receptor-Receptor,
PTPRD,IL1RAP,P23468,Q9NPH3,Ligand-Receptor,
PTPRD,IL1RAPL1,P23468,Q9NZN1,Ligand-Receptor,
PTPRS,NTRK3,Q13332,Q16288,Receptor-Receptor,
QRFP,QRFPR,P83859,Q96P65,Ligand-Receptor,
RBP4,STRA6,P02753,Q9BX79,Ligand-Receptor,
REN,ATP6AP2,P00797,O75787,Ligand-Receptor,
RNASET2,TLR8,O00584,Q9NR97,Ligand-Receptor,
RTN4R,ADGRB1,Q9BZR6,O14514,Ligand-Receptor,
SAA1,FPR2,P0DJI8,P25090,Ligand-Receptor,
SFTPD,ADGRE5,P35247,P48960,Ligand-Receptor,
SIGLEC15,CD44,Q6ZMC9,P16070,Ligand-Receptor,
SPN,SIGLEC1,P16150,Q9BZZ2,Ligand-Receptor,
TGM2,ADGRG1,P21980,Q9Y653,Ligand-Receptor,
THPO,MPL,P40225,P40238,Ligand-Receptor,
TRH,TRHR,P20396,P34981,Ligand-Receptor,
TSHB,TSHR,P01222,P16473,Ligand-Receptor,
TULP1,TYRO3,O00294,Q06418,Ligand-Receptor,
UNC5A,ADGRL3,Q6ZN44,Q9HAR2,Receptor-Receptor,
CD177,PECAM1,Q8N6Q3,P16284,Ligand-Receptor,
CD47,SIRPA,Q08722,P78324,Ligand-Receptor,
CD47,SIRPG,Q08722,Q9P1W8,Ligand-Receptor,
DAG1,NRXN3,Q14118,Q9HDB5,Ligand-Receptor,
HLA-E,VSIR,P13747,Q9H7M9,Ligand-Receptor,
HLA-F,VSIR,P30511,Q9H7M9,Ligand-Receptor,
NLGN4Y,NRXN3,Q8NFZ3,Q9HDB5,Ligand-Receptor,
PVR,KIR2DL5A,P15151,Q8N109,Ligand-Receptor,
SDC2,FGFR4,P34741,P22455,Ligand-Receptor,
SEMA4D,PLXNB3,Q92854,Q9ULL4,Ligand-Receptor,
CD44,TYROBP,P16070,O43914,Ligand-Receptor,
